公司简称,融资时间,轮次,金额,币种,等值人民币(万),投资机构
优客工场,2020-07-07,并购,769000000.0,美元,4844700000.0,Orisun Acquisition Corp
优客工场,2019-04-04,战略投资,200000000.0,人民币,200000000.0,龙熙地产
优客工场,2018-11-14,D轮,200000000.0,美元,1260000000.0,"易凯资本,全明星投资All-Stars Investment"
优客工场,2018-08-14,战略投资,300000000.0,人民币,300000000.0,"路劲产业,景荣控股"
优客工场,2018-06-08,C+轮,,人民币,,"丝路华创,山东国惠"
优客工场,2018-03-09,并购,,人民币,,无界空间
优客工场,2018-02-12,战略投资,110000000.00000001,人民币,110000000.00000001,"前海梧桐并购基金,高和资本"
优客工场,2017-12-22,C轮,300000000.0,人民币,300000000.0,"前海梧桐并购基金,场景实验室,中景恒基集团"
优客工场,2017-08-22,战略投资,200000000.0,人民币,200000000.0,KCC城建股份
优客工场,2017-08-07,B+轮,1200000000.0,人民币,1200000000.0,"首创置业,星牌集团,北京爱康集团,景荣控股"
优客工场,2017-07-04,战略投资,200000000.0,人民币,200000000.0,爱康创投
优客工场,2017-04-26,并购,,人民币,,洪泰创新空间
优客工场,2017-01-18,B轮,400000000.0,人民币,400000000.0,"普思资本,天弘基金,创合汇资本,俊发地产集团,天明双创科技,大宏集团"
优客工场,2016-08-15,战略投资,110000000.00000001,人民币,110000000.00000001,"中国泰合集团,北京百福嘉工程管理"
优客工场,2016-06-21,Pre-B轮,300000000.0,人民币,300000000.0,"中融信托,银泰集团"
优客工场,2016-03-14,A+轮,200000000.0,人民币,200000000.0,"汉富控股,方正和生投资,高和资本,领势投资,永柏联投,鸿泰国银,青创客,凯稼投资"
优客工场,2015-09-16,A轮,200000000.0,人民币,200000000.0,"高榕资本,歌斐资产,汉富控股,中城投资,永柏资本PGA Ventures,领势投资,中城投资1"
优客工场,2015-04-09,天使轮,,人民币,,"红杉中国,创新工场,真格基金,鸿坤亿润投资"
声迅股份,2020-11-26,IPO上市,415000000.00000006,人民币,415000000.00000006,
苏交科,2021-09-19,IPO上市后,,人民币,,珠江实业
苏交科,2012-01-10,IPO上市,,人民币,,
华宇软件,2020-11-06,IPO上市后,907000000.0,人民币,907000000.0,中移创新产业基金(中国移动)
华宇软件,2019-04-16,IPO上市后,1055000000.0000001,人民币,1055000000.0000001,"蚂蚁集团,四川发展产业引导基金"
华宇软件,2011-10-26,IPO上市,,人民币,,
天泽信息,2019-06-11,IPO上市后,2978000000.0,人民币,2978000000.0,"鼎晖投资,天星资本,广发信德,汤臣倍健,盛世景投资,申银万国投资,方正和生投资,海通创新资本,璀璨资本,先瑞资本,繸子财富,芮泰投资"
天泽信息,2011-04-26,IPO上市,,人民币,,
兑吧,2019-05-07,IPO上市,587000000.0,港元,469600000.0,
兑吧,2018-08-22,C轮,110000000.00000001,美元,693000000.0000001,"兰馨亚洲,TPG德太资本"
兑吧,2016-10-22,B轮,,人民币,,"广发信德,鼎聚投资,ROOBO智能管家基金"
兑吧,2015-09-06,A轮,30000000.0,人民币,30000000.0,"国泰创投,云毅投资,百纳资本"
兑吧,2015-03-11,Pre-A轮,10000000.0,人民币,10000000.0,"同创伟业,百纳资本"
兑吧,2014-09-10,天使轮,,人民币,,鼎聚投资
实朴检测,2022-01-28,IPO上市,526000000.0,人民币,526000000.0,
鼎捷软件DigiwinSoft,2020-07-05,IPO上市后,560000000.0,人民币,560000000.0,工业富联
鼎捷软件DigiwinSoft,2014-01-27,IPO上市,623000000.0,人民币,623000000.0,
瑞晟智能,2020-08-28,IPO上市,348000000.0,人民币,348000000.0,
瑞晟智能,2019-08-12,退市,,人民币,,
瑞晟智能,2015-07-01,新三板,,人民币,,
信雅达,2002-11-01,IPO上市,,人民币,,
迪信通,2019-07-28,IPO上市后,214000000.0,港元,171200000.0,京东
迪信通,2014-07-08,IPO上市,,港元,,
迪信通,2014-07-01,基石轮,48750000.0,美元,307125000.0,"奇虎360,TCL创投"
迪信通,2009-12-28,A轮,,人民币,,鼎晖投资
海联讯,2019-11-11,IPO上市后,631000000.0,人民币,631000000.0,杭州金投
海联讯,2015-09-14,IPO上市后,36600000.0,人民币,36600000.0,中科招商
海联讯,2011-11-23,IPO上市,391000000.0,人民币,391000000.0,
海联讯,2010-12-07,A轮,14000000.0,人民币,14000000.0,中科招商
矩子科技,2023-08-25,IPO上市后,430000000.0,人民币,430000000.0,
矩子科技,2020-07-06,IPO上市后,80000000.0,人民币,80000000.0,"张寒,崔岺"
矩子科技,2019-11-14,IPO上市,551000000.0,人民币,551000000.0,
矩子科技,2013-12-03,A轮,,人民币,,"凯风创投,领庆创投TheLinhuiFund"
矩子科技,2013-12-01,A轮,,人民币,,"凯风创投,领庆创投TheLinhuiFund"
浪潮信息,2000-06-08,IPO上市,501000000.0,人民币,501000000.0,
怡合达,2021-07-23,IPO上市,504000000.0,人民币,504000000.0,
怡合达,2019-03-01,A轮,,人民币,,"深创投,钟鼎资本,高瓴创投"
数字认证,2016-12-23,IPO上市,266000000.0,人民币,266000000.0,
瑞特股份,2017-01-25,IPO上市,343000000.0,人民币,343000000.0,
瑞特股份,2012-04-25,A轮,,人民币,,"中科招商,国发创投,浚源资本,国发融富"
宝兰德软件,2019-12-31,IPO上市后,,人民币,,"中信证券,时间投资"
宝兰德软件,2019-11-01,IPO上市,793000000.0,人民币,793000000.0,
中国电器院,2019-11-05,IPO上市,940000000.0,人民币,940000000.0,
中国电器院,2017-06-01,天使轮,233000000.0,人民币,233000000.0,"正泰集团,建设创投,建信信托"
天瑞仪器,2020-09-25,IPO上市后,144000000.0,人民币,144000000.0,"海通证券,兴业证券"
天瑞仪器,2011-01-25,IPO上市,,人民币,,
中南e行,2020-09-21,IPO上市后,,人民币,,财信金控
中南e行,2019-03-31,B轮,,人民币,,银河证券
中南e行,2018-09-30,A轮,,人民币,,中科招商
中南e行,2017-12-05,IPO上市,194000000.0,人民币,194000000.0,
蜂助手,2023-05-17,IPO上市,1009000000.0,人民币,1009000000.0,
蜂助手,2020-10-28,战略投资,,人民币,,海通创意资本
蜂助手,2018-04-25,退市,,人民币,,
蜂助手,2016-09-02,新三板,,人民币,,
蜂助手,2015-09-18,A轮,36480000.0,人民币,36480000.0,"天星资本,华兴金汇资本,诺为特"
蜂助手,2013-12-01,并购,36000000.0,人民币,36000000.0,汉鼎股份
富通科技控股,2009-12-04,IPO上市,,港元,,
中国赛特,2019-02-27,IPO上市后,,港元,, 江苏凯盟
中国赛特,2013-11-01,IPO上市,,港元,,
清科创业,2020-12-30,IPO上市,440000000.00000006,港元,352000000.00000006,
清科创业,2020-12-16,基石轮,24400000.0,美元,153720000.0,"红杉中国,IDG资本,高瓴投资,盈科资本"
清科创业,2020-01-15,B轮,,人民币,,"华盖资本,梅花创投"
清科创业,2015-12-30,A+轮,,人民币,,"网易,普华资本,小村资本,新浪,亦合资本,海尔资本,郁泰投资,臻界资产,金色木棉"
清科创业,2015-11-06,A轮,,人民币,,"红杉中国,嘉道私人资本,海尔资本"
清科创业,2005-12-06,天使轮,,人民币,,"硅谷银行Silicon Valley Bank,翱科创投"
明源云,2020-09-25,IPO上市,5900000000.0,港元,4720000000.0,
明源云,2020-09-14,基石轮,276000000.0,美元,1738800000.0,"红杉中国,高瓴投资,BlackRock贝莱德/黑岩,富达投资Fidelity Investments,GIC新加坡政府投资公司,国调基金"
明源云,2019-01-16,退市,,人民币,,
明源云,2015-06-19,新三板,,人民币,,
明源云,2010-08-05,A轮,,人民币,,"达晨财智,平安财智"
大东方,2002-06-25,IPO上市,376000000.0,人民币,376000000.0,
贝通信,2018-11-15,IPO上市,660000000.0,人民币,660000000.0,
贝通信,2015-11-17,B轮,120000000.0,人民币,120000000.0,"国投创新,永君资产"
贝通信,2014-11-10,A轮,10000000.0,人民币,10000000.0,"国信弘盛,山证投资"
贝通信,2013-12-03,天使轮,7000000.0,人民币,7000000.0,国信弘盛
曙光数创,2022-11-18,IPO上市,227999999.99999997,人民币,227999999.99999997,
曙光数创,2018-06-12,新三板,,人民币,,
蕾奥规划,2021-05-07,IPO上市,696000000.0,人民币,696000000.0,
蕾奥规划,2019-09-17,退市,,人民币,,
蕾奥规划,2017-03-13,新三板,,人民币,,
中科曙光,2014-11-06,IPO上市,,人民币,,
中科曙光,2008-01-24,天使轮,90000000.0,人民币,90000000.0,天富创业投资
国子软件,2023-08-23,IPO上市,233000000.0,人民币,233000000.0,
国子软件,2022-07-11,新三板定增,10000000.0,人民币,10000000.0,中泰财金
国子软件,2018-08-02,新三板,,人民币,,
华胜天成,2004-04-27,IPO上市,411000000.00000006,人民币,411000000.00000006,
迈拓仪表,2021-06-07,IPO上市,451000000.0,人民币,451000000.0,
迈拓仪表,2018-04-12,A轮,,人民币,,动平衡资本
迈拓仪表,2018-05-16,IPO上市,1200000000.0,人民币,1200000000.0,
迈拓仪表,2007-12-01,A轮,66000000.0,美元,415800000.0,兰馨亚洲
天纺标,2022-10-31,IPO上市,130000000.0,人民币,130000000.0,
天纺标,2018-04-02,新三板定增,6840000.0,人民币,6840000.0,
天纺标,2017-08-14,新三板,,人民币,,
中软国际,2003-06-01,IPO上市,,港元,,
博思软件,2019-09-27,IPO上市后,450000000.0,人民币,450000000.0,腾讯投资
博思软件,2016-07-26,IPO上市,200000000.0,人民币,200000000.0,
三未信安,2022-12-02,IPO上市,1510000000.0,人民币,1510000000.0,
三未信安,2020-08-31,A轮,,人民币,,"东方富海,云鼎资本,中国互联网投资基金"
三未信安,2015-05-03,天使轮,,人民币,,立达资本
三旺通信,2020-12-30,IPO上市,430000000.0,人民币,430000000.0,
三旺通信,2019-11-08,B轮,,人民币,,中信建投资本
三旺通信,2019-06-28,A轮,,人民币,,树桥资本
众诚科技,2022-09-23,IPO上市,112000000.00000001,人民币,112000000.00000001,
众诚科技,2015-12-24,新三板,,人民币,,
路桥信息,2023-08-16,IPO上市,153000000.0,人民币,153000000.0,
路桥信息,2016-06-15,新三板,,人民币,,
盈趣科技,2018-01-15,IPO上市,1689999999.9999998,人民币,1689999999.9999998,
盈趣科技,2016-06-01,A轮,190000000.0,人民币,190000000.0,"温氏投资,天使投资人,兴富资本,正欣和投资,靖烨投资"
普元信息,2019-12-04,IPO上市,642000000.0,人民币,642000000.0,
普元信息,2019-03-26,A轮,,人民币,,"晨徽网宿投资,朗姿韩亚资产"
普元信息,2017-12-13,战略投资,,人民币,,"君度投资,沃丰远投资"
普元信息,2010-04-02,天使轮,,人民币,,"新开发创投,和光投资"
博彦科技,2012-01-06,IPO上市,550000000.0,人民币,550000000.0,
博彦科技,2010-08-28,战略投资,132000000.0,人民币,132000000.0,"同创伟业,华软投资,华汇通创投,华软资本CSC,汇升联华"
数据港,2020-09-24,IPO上市后,1692000000.0000002,人民币,1692000000.0000002,"新华保险,南方资产,诺德基金,广发基金,红塔红土基金,鹏华基金"
数据港,2017-02-08,IPO上市,411000000.00000006,人民币,411000000.00000006,
数据港,2014-03-31,A轮,,人民币,,"复祥投资,万丰锦源"
宝信软件,1994-03-11,IPO上市,88000000.0,人民币,88000000.0,
博睿数据,2020-08-17,IPO上市,731000000.0,人民币,731000000.0,
博睿数据,2018-01-01,A轮,,人民币,,金浦投资
软通动力,2022-03-15,IPO上市,4630000000.0,人民币,4630000000.0,
软通动力,2020-09-21,战略投资,,人民币,,"云锋基金,毅达资本,兴业资管-兴业证券,光远资本,云晖资本,瑞饶投资,奇亓乂弈,纳维投资"
软通动力,2019-12-26,战略投资,,人民币,,"深创投,朗程资本,中航产融"
软通动力,2016-10-11,战略投资,,人民币,,"天津长城基金,世纪金源,民和资本"
软通动力,2015-12-14,C轮,,人民币,,"红杉中国,华盖资本,春华资本Primavera,易方达基金,华兴新经济基金,金浦投资,君创资本,天壹资本,云晖资本"
软通动力,2015-08-17,战略投资,,人民币,,达晨财智
软通动力,2014-09-01,退市,,美元,,
软通动力,2010-12-14,IPO上市,,美元,,
软通动力,2007-03-19,B轮,45000000.0,美元,283500000.0,"三井物产环球投资,富达投资Fidelity Investments,盈富泰克,永威投资"
软通动力,2006-03-19,A轮,,美元,,"斯道资本(富达亚洲),盈富泰克,永威投资"
兆日科技,2012-06-28,IPO上市,,人民币,,
兆日科技,2010-12-24,D轮,4920000.0,美元,30996000.0,"达晨财智,中国平安"
兆日科技,2007-06-18,C轮,,美元,,英特尔投资Intel Capital
兆日科技,2004-09-18,B轮,10000000.0,美元,63000000.0,"纪源资本,英特尔投资Intel Capital,华登国际,JAFCO Asia集富亚洲,Pioneer Group"
兆日科技,2003-12-01,A轮,3000000.0,美元,18900000.0,JAFCO Asia集富亚洲
蓝色光标,2021-05-08,IPO上市后,,人民币,,拉卡拉
蓝色光标,2018-03-07,IPO上市后,,人民币,,联想控股
蓝色光标,2016-05-12,IPO上市后,830000000.0000001,人民币,830000000.0000001,蓝瀚科技售股股东京东世纪
蓝色光标,2013-09-18,IPO上市后,530999999.99999994,人民币,530999999.99999994,"深创投,易方达基金,汇添富,西投控股,广发基金,泰达宏利,华商基金"
蓝色光标,2010-02-26,IPO上市,677000000.0,人民币,677000000.0,
蓝色光标,2008-06-01,A轮,33000000.0,人民币,33000000.0,达晨财智
网宿科技,2019-06-06,IPO上市后,3500000000.0,人民币,3500000000.0,广投集团
网宿科技,2018-01-26,IPO上市后,3000000000.0,人民币,3000000000.0,腾讯投资
网宿科技,2009-10-30,IPO上市,,人民币,,
网宿科技,2009-09-01,D轮,29000000.0,人民币,29000000.0,"达晨财智,创东方投资"
网宿科技,2009-06-15,C轮,14000000.0,人民币,14000000.0,联盛创投
