公司ID,公司简称,工商全称,统一信用代码,一句话简介,行业,子行业,省,市,地址,成立时间,运营状态,融资总额(万人民币),估值(万人民币),估值(估算-万人民币),年营收(亿元),年度利润(亿元),员工人数,融资次数
39915.0,安妮股份,厦门安妮股份有限公司,913502002601292498,商务信息用纸研发产销公司,企业服务,办公OA,福建,厦门,福建省厦门市集美区杏林锦园南路99号,1998-09,运营中,28800.0,136500.0,136500.0,3.61,-1.4,308,2.0
39204.0,先进数通,北京先进数通信息技术股份公司,91110108801146341D,软件解决方案及开发服务商,企业服务,行业信息化及解决方案,北京,海淀区,北京市海淀区车道沟1号青东商务区D座4-7层,2000-10,运营中,43300.0,166000.0,166000.0,28.05,1.22,308,3.0
38055.0,万国数据,万国数据服务有限公司,913205947230335351,高可用数据中心基础设施及云平台服务提供商,企业服务,企业IT服务,北京,朝阳区,北京市朝阳区东三环北路甲26号博瑞大厦1008室,2000-09,运营中,1943900.0,2015000.0,2015000.0,100.55,-43,3000,8.0
36915.0,三五互联科技,琏升科技股份有限公司,91350200751642792T,云办公整体解决方案的专业服务提供商,企业服务,综合企业服务,福建,福州,福建省厦门市火炬高新技术产业开发区软件园二期观日路8号一层,2004-04,运营中,45900.0,229500.0,229500.0,2.45,-0.632319,1000,1.0
36459.0,任子行,任子行网络技术股份有限公司,91440300723005104T,网络信息安全服务提供商,企业服务,企业安全,广东,广州,广东省深圳市南山区科技中二路软件园2栋6层,2000-05,运营中,33480.0,150000.0,150000.0,6.5,-0.885978,1116,2.0
21745.0,派诺科技,珠海派诺科技股份有限公司,91440400722914824B,用电和能源管理服务提供商,企业服务,行业信息化及解决方案,广东,珠海,广东省珠海市高新区科技创新海岸科技六路15号派诺科技园,2000-05,运营中,20500.0,90000.0,57500.0,6.13,0.663477,744,4.0
30543.0,用友,用友网络科技股份有限公司,91110000600001760P,企业管理软件提供商,企业服务,综合企业服务,北京,海淀区,北京市海淀区北清路68号用友产业园,1995-01,运营中,621500.0,2649000.0,2649000.0,97.96,-9.1,18000,2.0
29522.0,恒拓开源,恒拓开源信息科技股份有限公司,91120116663065243C,软件开源化技术服务提供商,企业服务,开发者服务,天津,滨海新区,北京市海淀区北清路68号用友产业园,2007-06,运营中,22000.0,96400.0,96400.0,1.79,0.077483,554,3.0
26765.0,凌雄科技,凌雄技术(深圳)有限公司,914403000685577373,IT设备租赁服务提供商,企业服务,企业IT服务,广东,深圳,深圳市福田区车公庙工业区车公庙安华小区厂房5栋,2004-11,运营中,159960.0,208000.0,134800.0,18.21,-1.29,500,9.0
7340.0,天润云, 天润云股份有限公司,91110108785512910D,全周期客户联络云平台服务商,企业服务,客户服务,北京,大兴区,北京亦庄经济技术开发区荣华南路2号院大族广场1号楼29层,2006-02,运营中,76894.0,178880.0,102400.0,4.63,-0.09036,588,5.0
6747.0,初灵信息,杭州初灵信息技术股份有限公司,91330000720048184T,基于云服务的远程物联网应用,企业服务,云服务,浙江,杭州,北京亦庄经济技术开发区荣华南路2号院大族广场1号楼29层,2009-07,运营中,76894.0,316000.0,102400.0,3.61,-1.16,1002,1.0
4211.0,南京云创存储,南京云创大数据科技股份有限公司,91320100567246634N,云计算、云存储技术服务商,企业服务,企业IT服务,江苏,南京,北京亦庄经济技术开发区荣华南路2号院大族广场1号楼29层,2011-03,运营中,40800.0,179900.0,174000.0,4.77,0.728835,1002,2.0
3911.0,中望软件,广州中望龙腾软件股份有限公司,91440101712408557U,CAD/CAM解决方案供应商,企业服务,企业IT服务,广东,广州,广州市天河区珠江西路15号珠江城32层,2013-04,运营中,102100.0,2592000.0,300500.0,6.01,-0.032651,2081,5.0
