公司简称,融资时间,轮次,金额,币种,等值人民币(万),投资机构
泽达易盛,2020-06-23,IPO上市,4.05亿,人民币,,
立昂技术,2019-04-19,IPO上市后,4.44亿,人民币,,国金证券
殷图网联,2020-07-27,IPO上市,未透露,人民币,,
广厦环能,2023-12-05,IPO上市,3.52亿,人民币,,
金现代,2020-05-06,IPO上市,3.79亿,人民币,,
索辰科技,2023-04-18,IPO上市,25.37亿,人民币,,
伊登软件,2020-05-13,IPO上市,7400万,港元,,
华信永道,2023-07-10,IPO上市,1.14亿,人民币,,
浩辰软件,2023-10-10,IPO上市,11.6亿,人民币,,
正元地信,2021-07-30,IPO上市,未透露,人民币,,
宏景科技,2022-11-11,IPO上市,9.17亿,人民币,,
日月明,2020-11-05,IPO上市,5.28亿,人民币,,
米奥兰特,2019-10-22,IPO上市,3.57亿,人民币,,
球冠电缆,2020-07-27,IPO上市,未透露,人民币,,
龙磁科技,2020-05-25,IPO上市,3.53亿,人民币,,
通业科技,2021-03-29,IPO上市,3.84亿,人民币,,
EMTEK检测,2021-01-27,IPO上市,6.07亿,人民币,,
捷顺科技,2019-07-15,战略投资,6.38亿,人民币,,深圳国资
高凌信息,2022-03-15,IPO上市,12亿,人民币,,
汉鼎股份,2019-11-07,IPO上市后,未透露,人民币,,平潭创投
罗曼股份,2021-04-26,IPO上市,5.29亿,人民币,,
品茗股份,2021-03-30,IPO上市,5.91亿,人民币,,
并行科技,2023-11-01,IPO上市,2.9亿,人民币,,
铜牛信息,2020-09-24,IPO上市,3.07亿,人民币,,
山大地纬,2020-07-17,IPO上市,3.25亿,人民币,,
先导智能,2020-09-15,IPO上市后,25亿,人民币,,宁德时代
左江科技,2019-10-29,IPO上市,3.65亿,人民币,,
远光软件,2006-08-23,IPO上市,1.6亿,人民币,,
百家云,2022-12-26,IPO上市,数千万,美元,,
同辉佳视,2021-08-09,IPO上市,未透露,人民币,,
数字政通,2020-09-03,IPO上市后,6亿,人民币,,"国泰君安,嘉实投资-嘉实基金,国信证券,大正投资集团,财通基金,诺德基金,国泰基金,方正证券,建信基金"
飞利信科技,2012-02-01,IPO上市,3.15亿,人民币,,
赛意信息,2017-08-03,IPO上市,4.43亿,人民币,,
航天长峰,2019-12-24,IPO上市后,9.6亿,人民币,,
容知日新,2021-07-26,IPO上市,未透露,人民币,,
真视通科技,2015-06-29,IPO上市,2.56亿,人民币,,
安博通,2019-09-06,IPO上市,6.7亿,人民币,,
易联众,2010-07-28,IPO上市,数亿,人民币,,
新开普电子,2019-01-07,IPO上市后,2亿,人民币,,蚂蚁集团
银基集团,2009-04-08,IPO上市,未透露,人民币,,
新炬网络,2021-01-21,IPO上市,5.59亿,人民币,,
普元信息,2019-12-04,IPO上市,6.42亿,人民币,,
北信源,2012-09-12,IPO上市,4.17亿,人民币,,
浩云科技,2015-04-24,IPO上市,3.16亿,人民币,,
朗新科技,2019-06-24,IPO上市后,37.53亿,人民币,,"苏宁,蚂蚁集团,恒信东方"
视声智能,2023-09-01,IPO上市,1.3亿,人民币,,
慧博云通,2024-03-07,IPO上市后,4.32亿,人民币,,余浩
玄武云,2022-08-11,IPO上市后,未透露,人民币,,四维资本
